celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,agg_week_1,rank_of_week_1,agg_week_2,rank_of_week_2,agg_week_3,rank_of_week_3,agg_week_4,rank_of_week_4,agg_week_5,rank_of_week_5,agg_week_6,rank_of_week_6,agg_week_7,rank_of_week_7,agg_week_8,rank_of_week_8,agg_week_9,rank_of_week_9,agg_week_10,rank_of_week_10,agg_week_11,rank_of_week_11,episodes_participated,var_week_1,var_week_2,var_week_3,var_week_4,var_week_5,var_week_6,var_week_7,var_week_8,var_week_9,var_week_10,var_week_11,season_mean_week_variance,season_flag,avg_weekly_rank,final_rank_parsed,episodes_participated_parsed,rank_difference,season_flag_parsed,avg_agg_score,avg_week_variance
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,6,6,6,,6,5,5,,7,6,7,,7.5,6.5,8,,6,6,6,,10.3333,10.3333,10.3333,,8.5,9,8.5,,7.5,7.5,7.5,,8.5,8.5,9,,0,0,0,,,,,,18.0,6.0,16.0,9.0,20.0,7.0,22.0,4.0,18.0,6.0,30.9999,3.0,26.0,3.0,22.5,4.0,26.0,4.0,,,,,9,10.363636363636363,18.181818181818183,13.010000000000002,11.932098765432098,19.484375,14.694020413877544,0.7847222222222223,8.559999999999999,2.0625,0.749065846666666,,9.982223679365308,True,5.111111111111111,4.0,9,1.1111111111111107,True,22.166655555555554,9.982223679365308
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,8,7,8,,8,8,8,,9,8,9,,9,8,9,,9,9,9,,9,9,9,,9,9,9,,9,8.5,9,,10,9.5,10,,9.3333,8.7777,8.7777,,,,,,23.0,2.0,24.0,2.0,26.0,1.0,26.0,1.0,27.0,2.0,27.0,5.0,27.0,1.0,26.5,2.0,29.5,1.0,26.8887,3.0,,,10,10.363636363636363,18.181818181818183,13.010000000000002,11.932098765432098,19.484375,14.694020413877544,0.7847222222222223,8.559999999999999,2.0625,0.749065846666666,,9.982223679365308,True,2.0,2.0,10,0.0,True,26.288869999999996,9.982223679365308
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7,6,8,,7,7,8,,7,7,7,,7.5,7.5,8.5,,7,6,8,,9.6666,9.6666,10.6666,,8.5,8.5,8.5,,0,0,0,,0,0,0,,0,0,0,,,,,,21.0,3.0,22.0,4.0,21.0,4.0,23.5,3.0,21.0,5.0,29.9998,4.0,25.5,4.0,,,,,,,,,7,10.363636363636363,18.181818181818183,13.010000000000002,11.932098765432098,19.484375,14.694020413877544,0.7847222222222223,8.559999999999999,2.0625,0.749065846666666,,9.982223679365308,True,3.857142857142857,6.0,7,-2.142857142857143,True,23.428542857142855,9.982223679365308
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,9,7,9,,10,8,10,,8,6,9,,8.5,8,8.5,,10,9,10,,12.3333,10.3333,13.3333,,9,9,9,,10,9.5,10,,10,9.5,10,,9.5,9.5,9.7777,,,,,,25.0,1.0,28.0,1.0,23.0,2.0,25.0,2.0,29.0,1.0,35.9999,1.0,27.0,1.0,29.5,1.0,29.5,1.0,28.7777,1.0,,,10,10.363636363636363,18.181818181818183,13.010000000000002,11.932098765432098,19.484375,14.694020413877544,0.7847222222222223,8.559999999999999,2.0625,0.749065846666666,,9.982223679365308,True,1.2,1.0,10,0.19999999999999996,True,28.07776,9.982223679365308
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,7,7,7,,8,7,8,,8,7,8,,6.5,6.5,6.5,,7,7,8,,12,10,12,,8.5,8.5,8.5,,8.5,9,9,,9.5,9,9.5,,9.2222,8.8888,8.8888,,,,,,21.0,3.0,23.0,3.0,23.0,2.0,19.5,5.0,22.0,4.0,34.0,2.0,25.5,4.0,26.5,2.0,28.0,3.0,26.9998,2.0,,,10,10.363636363636363,18.181818181818183,13.010000000000002,11.932098765432098,19.484375,14.694020413877544,0.7847222222222223,8.559999999999999,2.0625,0.749065846666666,,9.982223679365308,True,3.0,3.0,10,0.0,True,24.94998,9.982223679365308
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,6,5,5,,5,5,5,,5,5,5,,5,5.5,5.5,,5,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,16.0,9.0,15.0,10.0,15.0,9.0,16.0,9.0,15.0,8.0,,,,,,,,,,,,,5,10.363636363636363,18.181818181818183,13.010000000000002,11.932098765432098,19.484375,14.694020413877544,0.7847222222222223,8.559999999999999,2.0625,0.749065846666666,,9.982223679365308,True,9.0,8.0,5,1.0,True,15.4,9.982223679365308
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,7,6,7,,6,7,7,,7,7,7,,6.5,6.5,6,,8,7,8,,8.3333,8.3333,8.3333,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,20.0,5.0,20.0,6.0,21.0,4.0,19.0,6.0,23.0,3.0,24.9999,7.0,,,,,,,,,,,6,10.363636363636363,18.181818181818183,13.010000000000002,11.932098765432098,19.484375,14.694020413877544,0.7847222222222223,8.559999999999999,2.0625,0.749065846666666,,9.982223679365308,True,5.166666666666667,7.0,6,-1.833333333333333,True,21.333316666666665,9.982223679365308
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,5,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,15.0,10.0,,,,,,,,,,,,,,,,,,,,,1,10.409722222222221,9.900826446280991,6.290000000000001,17.376543209876544,7.4375,15.387726536326525,2.1458333333333335,5.1,1.625,3.1853037066666627,,7.8858455454706275,True,10.0,12.0,1,-2.0,True,15.0,7.8858455454706275
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,6,6,6,,7,6,6,,7,6,7,,6,6,5.5,,7,7,7,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,18.0,7.0,19.0,8.0,20.0,7.0,17.5,6.0,21.0,6.0,,,,,,,,,,,,,5,10.409722222222221,9.900826446280991,6.290000000000001,17.376543209876544,7.4375,15.387726536326525,2.1458333333333335,5.1,1.625,3.1853037066666627,,7.8858455454706275,True,6.8,8.0,5,-1.2000000000000002,True,19.1,7.8858455454706275
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,8,7,8,,8,7,7,,8,7,8,,7,6.5,6.5,,8,5,7,,10.3333,9.3333,10.3333,,9,8.5,8,8,9.5,9,9.5,,10,9,10,,9.3333,8.6666,9.3333,,,,,,23.0,2.0,22.0,3.0,23.0,5.0,20.0,4.0,20.0,7.0,29.9999,4.0,33.5,5.0,28.0,3.0,29.0,2.0,27.3332,2.0,,,10,10.409722222222221,9.900826446280991,6.290000000000001,17.376543209876544,7.4375,15.387726536326525,2.1458333333333335,5.1,1.625,3.1853037066666627,,7.8858455454706275,True,3.7,2.0,10,1.7000000000000002,True,25.58331,7.8858455454706275
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,8,8,8,,8,8,8,,8,8,8,,9.5,9,9.5,,8,8,9,,9,10,10,,9.5,9,9,9,9.5,9.5,9.5,,10,10,10,,10,10,10,,,,,,24.0,1.0,24.0,1.0,24.0,2.0,28.0,1.0,25.0,2.0,29.0,5.0,36.5,1.0,28.5,1.0,30.0,1.0,30.0,1.0,,,10,10.409722222222221,9.900826446280991,6.290000000000001,17.376543209876544,7.4375,15.387726536326525,2.1458333333333335,5.1,1.625,3.1853037066666627,,7.8858455454706275,True,1.6,1.0,10,0.6000000000000001,True,27.9,7.8858455454706275
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,8,7,7,,7,7,7,,8,8,8,,6,7,6.5,,8,8,8,,10,10,10,,9,8.5,8.5,8.5,0,0,0,,0,0,0,,0,0,0,,,,,,22.0,4.0,21.0,5.0,24.0,2.0,19.5,5.0,24.0,3.0,30.0,3.0,34.5,4.0,,,,,,,,,7,10.409722222222221,9.900826446280991,6.290000000000001,17.376543209876544,7.4375,15.387726536326525,2.1458333333333335,5.1,1.625,3.1853037066666627,,7.8858455454706275,True,3.7142857142857144,6.0,7,-2.2857142857142856,True,25.0,7.8858455454706275
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,7,5,7,,7,7,7,,8,8,7,,6,5.5,5.5,,8,8,8,,7.3333,7.3333,7.3333,,9.5,8.5,8.5,8.5,8,8,8,,0,0,0,,0,0,0,,,,,,19.0,5.0,21.0,5.0,23.0,5.0,17.0,7.0,24.0,3.0,21.9999,7.0,35.0,3.0,24.0,4.0,,,,,,,8,10.409722222222221,9.900826446280991,6.290000000000001,17.376543209876544,7.4375,15.387726536326525,2.1458333333333335,5.1,1.625,3.1853037066666627,,7.8858455454706275,True,4.875,5.0,8,-0.125,True,23.1249875,7.8858455454706275
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,5,5,5,,6,6,6,,6,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,15.0,10.0,18.0,9.0,18.0,10.0,,,,,,,,,,,,,,,,,3,10.409722222222221,9.900826446280991,6.290000000000001,17.376543209876544,7.4375,15.387726536326525,2.1458333333333335,5.1,1.625,3.1853037066666627,,7.8858455454706275,True,9.666666666666666,10.0,3,-0.3333333333333339,True,17.0,7.8858455454706275
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,6,5,5,,4,5,3,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,16.0,9.0,12.0,11.0,,,,,,,,,,,,,,,,,,,2,10.409722222222221,9.900826446280991,6.290000000000001,17.376543209876544,7.4375,15.387726536326525,2.1458333333333335,5.1,1.625,3.1853037066666627,,7.8858455454706275,True,10.0,11.0,2,-1.0,True,14.0,7.8858455454706275
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,7,8,8,,7,7,7,,8,8,8,,8,8,8,,9,9,9,,11.3333,12.3333,12.3333,,9,9,9.5,9,9,9.5,10,,9.5,9.5,9.5,,0,0,0,,,,,,23.0,2.0,21.0,5.0,24.0,2.0,24.0,2.0,27.0,1.0,35.9999,1.0,36.5,1.0,28.5,1.0,28.5,3.0,,,,,9,10.409722222222221,9.900826446280991,6.290000000000001,17.376543209876544,7.4375,15.387726536326525,2.1458333333333335,5.1,1.625,3.1853037066666627,,7.8858455454706275,True,2.0,4.0,9,-2.0,True,27.6111,7.8858455454706275
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,5,5,5,,6,6,6,,7,6,7,,5,4.5,4.5,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,15.0,10.0,18.0,9.0,20.0,7.0,14.0,9.0,,,,,,,,,,,,,,,4,10.409722222222221,9.900826446280991,6.290000000000001,17.376543209876544,7.4375,15.387726536326525,2.1458333333333335,5.1,1.625,3.1853037066666627,,7.8858455454706275,True,8.75,9.0,4,-0.25,True,16.75,7.8858455454706275
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6,7,6,,8,8,7,,8,9,9,,8,7.5,7.5,,7,8,8,,10.6666,10.6666,10.6666,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,19.0,5.0,23.0,2.0,26.0,1.0,23.0,3.0,23.0,5.0,31.9998,2.0,,,,,,,,,,,6,10.409722222222221,9.900826446280991,6.290000000000001,17.376543209876544,7.4375,15.387726536326525,2.1458333333333335,5.1,1.625,3.1853037066666627,,7.8858455454706275,True,3.0,7.0,6,-4.0,True,24.333299999999998,7.8858455454706275
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,6,6,6,,7,8,7,,6,6,7,,5,5.5,5.5,,6,6,6,,9.6666,8.6666,9.6666,,8.5,8,8,8,7.5,8,8,,8.5,9,9,,8.3333,9,8.3333,,,,,,18.0,7.0,22.0,3.0,19.0,9.0,16.0,8.0,18.0,8.0,27.9998,6.0,32.5,6.0,23.5,5.0,26.5,4.0,25.666600000000003,3.0,,,10,10.409722222222221,9.900826446280991,6.290000000000001,17.376543209876544,7.4375,15.387726536326525,2.1458333333333335,5.1,1.625,3.1853037066666627,,7.8858455454706275,True,5.9,3.0,10,2.9000000000000004,True,22.91664,7.8858455454706275
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,Eliminated Week 9,4,8,8,8,,7,7,7,,7,7,7,,8,8,9,,8,7,7,,8,8,8,,9,8.5,7.5,8,7.5,7.5,8,,8,8,8,,0,0,0,,,,,,24.0,1.0,21.0,4.0,21.0,5.0,25.0,2.0,22.0,6.0,24.0,6.0,33.0,1.0,23.0,5.0,24.0,4.0,,,,,9,10.512396694214875,5.68595041322314,7.639999999999999,5.209876543209877,4.1875,4.204081632653061,1.701388888888889,2.5,21.421875,0.6173086422222239,,6.368037781441207,True,3.7777777777777777,4.0,9,-0.22222222222222232,True,24.11111111111111,6.368037781441207
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3rd Place,3,7,7,7,,6,5,7,,7,8,8,,9,8,9,,9,8,9,,10,9,9,,8,8.5,7.5,8,9,9,9.5,,12,12,12.5,,10,9.6666,10,,,,,,21.0,3.0,18.0,7.0,23.0,3.0,26.0,1.0,26.0,2.0,28.0,1.0,32.0,3.0,27.5,1.0,36.5,1.0,29.666600000000003,1.0,,,10,10.512396694214875,5.68595041322314,7.639999999999999,5.209876543209877,4.1875,4.204081632653061,1.701388888888889,2.5,21.421875,0.6173086422222239,,6.368037781441207,True,2.3,3.0,10,-0.7000000000000002,True,26.76666,6.368037781441207
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2nd Place,2,8,7,8,,7,6,7,,7,7,7,,7,7,8,,8,7,8,,8,9,9,,8,7,7,8,8.5,9,9,,9,9,9,,9.3333,9.3333,9.3333,,,,,,23.0,2.0,20.0,5.0,21.0,5.0,22.0,7.0,23.0,5.0,26.0,4.0,30.0,5.0,26.5,3.0,27.0,3.0,27.9999,3.0,,,10,10.512396694214875,5.68595041322314,7.639999999999999,5.209876543209877,4.1875,4.204081632653061,1.701388888888889,2.5,21.421875,0.6173086422222239,,6.368037781441207,True,4.2,2.0,10,2.2,True,24.64999,6.368037781441207
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1st Place,1,7,7,7,,8,7,8,,9,8,8,,9,8,8,,9,9,9,,9,9,9,,8,8,8,9,9,9,9,,10,10,10,,10,9.6666,10,,,,,,21.0,3.0,23.0,1.0,25.0,1.0,25.0,2.0,27.0,1.0,27.0,3.0,33.0,1.0,27.0,2.0,30.0,2.0,29.666600000000003,1.0,,,10,10.512396694214875,5.68595041322314,7.639999999999999,5.209876543209877,4.1875,4.204081632653061,1.701388888888889,2.5,21.421875,0.6173086422222239,,6.368037781441207,True,1.7,1.0,10,0.7,True,26.76666,6.368037781441207
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,Eliminated Week 4,9,6,5,6,,6,5,6,,7,6,7,,7,7,7,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,17.0,9.0,17.0,9.0,20.0,8.0,21.0,8.0,,,,,,,,,,,,,,,4,10.512396694214875,5.68595041322314,7.639999999999999,5.209876543209877,4.1875,4.204081632653061,1.701388888888889,2.5,21.421875,0.6173086422222239,,6.368037781441207,True,8.5,9.0,4,-0.5,True,18.75,6.368037781441207
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,Eliminated Week 6,7,7,6,6,,8,7,8,,7,7,7,,8,7,8,,9,8,9,,7,8,7,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,19.0,5.0,23.0,1.0,21.0,5.0,23.0,4.0,26.0,2.0,22.0,7.0,,,,,,,,,,,6,10.512396694214875,5.68595041322314,7.639999999999999,5.209876543209877,4.1875,4.204081632653061,1.701388888888889,2.5,21.421875,0.6173086422222239,,6.368037781441207,True,4.0,7.0,6,-3.0,True,22.333333333333332,6.368037781441207
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,Eliminated Week 5,8,6,6,6,,6,6,6,,8,9,8,,8,7,8,,7,7,8,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,18.0,7.0,18.0,7.0,25.0,1.0,23.0,4.0,22.0,6.0,,,,,,,,,,,,,5,10.512396694214875,5.68595041322314,7.639999999999999,5.209876543209877,4.1875,4.204081632653061,1.701388888888889,2.5,21.421875,0.6173086422222239,,6.368037781441207,True,5.0,8.0,5,-3.0,True,21.2,6.368037781441207
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,Eliminated Week 2,11,5,4,4,,6,5,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,13.0,11.0,17.0,9.0,,,,,,,,,,,,,,,,,,,2,10.512396694214875,5.68595041322314,7.639999999999999,5.209876543209877,4.1875,4.204081632653061,1.701388888888889,2.5,21.421875,0.6173086422222239,,6.368037781441207,True,10.0,11.0,2,-1.0,True,15.0,6.368037781441207
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,Eliminated Week 8,5,7,6,6,,7,8,8,,7,6,7,,7,8,8,,9,8,9,,10,9,9,,7.5,8,7,7.5,8.5,9,8.5,,0,0,0,,0,0,0,,,,,,19.0,5.0,23.0,1.0,20.0,8.0,23.0,4.0,26.0,2.0,28.0,1.0,30.0,5.0,26.0,4.0,,,,,,,8,10.512396694214875,5.68595041322314,7.639999999999999,5.209876543209877,4.1875,4.204081632653061,1.701388888888889,2.5,21.421875,0.6173086422222239,,6.368037781441207,True,3.75,5.0,8,-1.25,True,24.375,6.368037781441207
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,Eliminated Week 3,10,5,4,5,,6,5,6,,5,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,14.0,10.0,17.0,9.0,15.0,10.0,,,,,,,,,,,,,,,,,3,10.512396694214875,5.68595041322314,7.639999999999999,5.209876543209877,4.1875,4.204081632653061,1.701388888888889,2.5,21.421875,0.6173086422222239,,6.368037781441207,True,9.666666666666666,10.0,3,-0.3333333333333339,True,15.333333333333334,6.368037781441207
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,Eliminated Week 7,6,6,6,6,,7,6,6,,8,7,8,,6,6,6,,8,7,7,,8,8,9,,7.5,7.5,7.5,8,0,0,0,,0,0,0,,0,0,0,,,,,,18.0,7.0,19.0,6.0,23.0,3.0,18.0,9.0,22.0,6.0,25.0,5.0,30.5,4.0,,,,,,,,,7,10.512396694214875,5.68595041322314,7.639999999999999,5.209876543209877,4.1875,4.204081632653061,1.701388888888889,2.5,21.421875,0.6173086422222239,,6.368037781441207,True,5.714285714285714,6.0,7,-0.2857142857142856,True,22.214285714285715,6.368037781441207
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,Eliminated Week 2,11,5,5,5,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,15.0,11.0,21.0,4.0,,,,,,,,,,,,,,,,,,,2,6.743055555555556,3.4710743801652892,6.210000000000001,7.5061728395061715,6.75,13.632653061224488,2.118055555555556,6.44,13.046906256874994,0.018514815555555696,,6.5936432464437615,True,7.5,11.0,2,-3.5,True,18.0,6.5936432464437615
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,Eliminated Week 7,6,6,6,6,,6,6,6,,8,8,8,,8,7,8,,8,9,8,,8,7,8,,8,7.5,8,,0,0,0,,0,0,0,,0,0,0,,,,,,18.0,6.0,18.0,9.0,24.0,4.0,23.0,5.0,25.0,2.0,23.0,4.0,23.5,5.0,,,,,,,,,7,6.743055555555556,3.4710743801652892,6.210000000000001,7.5061728395061715,6.75,13.632653061224488,2.118055555555556,6.44,13.046906256874994,0.018514815555555696,,6.5936432464437615,True,5.0,6.0,7,-1.0,True,22.071428571428573,6.5936432464437615
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3rd Place,3,7,6,7,,8,7,8,,9,9,9,,10,9,10,,8,8,8,,10,9,10,,9,8.5,9,,8.5,8.5,9,,10.8333,11.3333,11.3333,,9.3333,9.3333,9.3333,,,,,,20.0,4.0,23.0,1.0,27.0,1.0,29.0,1.0,24.0,4.0,29.0,1.0,26.5,1.0,26.0,2.0,33.4999,1.0,27.9999,3.0,,,10,6.743055555555556,3.4710743801652892,6.210000000000001,7.5061728395061715,6.75,13.632653061224488,2.118055555555556,6.44,13.046906256874994,0.018514815555555696,,6.5936432464437615,True,1.9,3.0,10,-1.1,True,26.59998,6.5936432464437615
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1st Place,1,8,7,7,,7,7,8,,9,8,9,,8,9,9,,9,9,10,,10,9,10,,8.5,7.5,8,,10,10,10,,9.5,9,9.5,,9.3333,9.1666,9.6666,,,,,,22.0,1.0,22.0,2.0,26.0,2.0,26.0,2.0,28.0,1.0,29.0,1.0,24.0,4.0,30.0,1.0,28.0,3.0,28.1665,2.0,,,10,6.743055555555556,3.4710743801652892,6.210000000000001,7.5061728395061715,6.75,13.632653061224488,2.118055555555556,6.44,13.046906256874994,0.018514815555555696,,6.5936432464437615,True,1.9,1.0,10,0.8999999999999999,True,26.31665,6.5936432464437615
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,Eliminated Week 1,12,5,4,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,14.0,12.0,,,,,,,,,,,,,,,,,,,,,1,6.743055555555556,3.4710743801652892,6.210000000000001,7.5061728395061715,6.75,13.632653061224488,2.118055555555556,6.44,13.046906256874994,0.018514815555555696,,6.5936432464437615,True,12.0,12.0,1,0.0,True,14.0,6.5936432464437615
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,Eliminated Week 9,4,7,7,7,,6,7,6,,8,8,8,,8,8,8,,8,8,8,,7,6,7,,8.5,8,8.5,,8.5,9,8.5,,8.1666,8.1666,8.1666,,0,0,0,,,,,,21.0,3.0,19.0,8.0,24.0,4.0,24.0,3.0,24.0,4.0,20.0,6.0,25.0,3.0,26.0,2.0,24.4998,4.0,,,,,9,6.743055555555556,3.4710743801652892,6.210000000000001,7.5061728395061715,6.75,13.632653061224488,2.118055555555556,6.44,13.046906256874994,0.018514815555555696,,6.5936432464437615,True,4.111111111111111,4.0,9,0.11111111111111072,True,23.055533333333333,6.5936432464437615
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,Eliminated Week 4,9,8,7,7,,7,7,7,,8,9,9,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,22.0,1.0,21.0,4.0,26.0,2.0,21.0,6.0,,,,,,,,,,,,,,,4,6.743055555555556,3.4710743801652892,6.210000000000001,7.5061728395061715,6.75,13.632653061224488,2.118055555555556,6.44,13.046906256874994,0.018514815555555696,,6.5936432464437615,True,3.25,9.0,4,-5.75,True,22.5,6.5936432464437615
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,Eliminated Week 3,10,7,6,6,,8,7,7,,8,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,19.0,5.0,22.0,2.0,24.0,4.0,,,,,,,,,,,,,,,,,3,6.743055555555556,3.4710743801652892,6.210000000000001,7.5061728395061715,6.75,13.632653061224488,2.118055555555556,6.44,13.046906256874994,0.018514815555555696,,6.5936432464437615,True,3.6666666666666665,10.0,3,-6.333333333333334,True,21.666666666666668,6.5936432464437615
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,Eliminated Week 5,8,6,5,6,,6,6,6,,8,7,8,,7,6,7,,6,6,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,17.0,7.0,18.0,9.0,23.0,8.0,20.0,9.0,19.0,8.0,,,,,,,,,,,,,5,6.743055555555556,3.4710743801652892,6.210000000000001,7.5061728395061715,6.75,13.632653061224488,2.118055555555556,6.44,13.046906256874994,0.018514815555555696,,6.5936432464437615,True,8.2,8.0,5,0.1999999999999993,True,19.4,6.5936432464437615
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,Eliminated Week 6,7,6,5,6,,6,5,6,,6,6,6,,7,7,7,,7,7,7,,7,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,17.0,7.0,17.0,11.0,18.0,10.0,21.0,6.0,21.0,7.0,19.0,7.0,,,,,,,,,,,6,6.743055555555556,3.4710743801652892,6.210000000000001,7.5061728395061715,6.75,13.632653061224488,2.118055555555556,6.44,13.046906256874994,0.018514815555555696,,6.5936432464437615,True,8.0,7.0,6,1.0,True,18.833333333333332,6.5936432464437615
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,Eliminated Week 8,5,5,5,6,,6,8,7,,7,7,7,,7,7,7,,7,7,8,,9,7,8,,7.5,7,7.5,,7.5,7,7.5,,0,0,0,,0,0,0,,,,,,16.0,9.0,21.0,4.0,21.0,9.0,21.0,6.0,22.0,6.0,24.0,3.0,22.0,6.0,22.0,5.0,,,,,,,8,6.743055555555556,3.4710743801652892,6.210000000000001,7.5061728395061715,6.75,13.632653061224488,2.118055555555556,6.44,13.046906256874994,0.018514815555555696,,6.5936432464437615,True,6.0,5.0,8,1.0,True,21.125,6.5936432464437615
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2nd Place,2,6,5,5,,7,7,7,,8,8,8,,8,8,8,,9,8,8,,8,7,7,,9,8,8.5,,8.5,8.5,8.5,,11.1666,10.6666,10.6666,,9.4444,9.4444,9.4444,,,,,,16.0,9.0,21.0,4.0,24.0,4.0,24.0,3.0,25.0,2.0,22.0,5.0,25.5,2.0,25.5,4.0,32.4998,2.0,28.3332,1.0,,,10,6.743055555555556,3.4710743801652892,6.210000000000001,7.5061728395061715,6.75,13.632653061224488,2.118055555555556,6.44,13.046906256874994,0.018514815555555696,,6.5936432464437615,True,3.6,2.0,10,1.6,True,24.3833,6.5936432464437615
