celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,agg_week_1,rank_of_week_1,agg_week_2,rank_of_week_2,agg_week_3,rank_of_week_3,agg_week_4,rank_of_week_4,agg_week_5,rank_of_week_5,agg_week_6,rank_of_week_6,agg_week_7,rank_of_week_7,agg_week_8,rank_of_week_8,agg_week_9,rank_of_week_9,agg_week_10,rank_of_week_10,agg_week_11,rank_of_week_11,episodes_participated
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,7,6.5,7,,7,7,7,,7,7,7,,7,8,8,,10,9,9,,8,8,7,,8,7,7,,8,8,8,,8,7.5,7.5,,0,0,0,,,,,,6.833333333333333,6.0,7.0,4.0,7.0,6.0,7.666666666666667,4.0,9.333333333333334,2.0,7.666666666666667,4.0,7.333333333333333,5.0,8.0,4.0,7.666666666666667,4.0,,,,,9
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,6.5,7.5,7,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.0,5.0,7.0,4.0,,,,,,,,,,,,,,,,,,,2
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,6.5,6.5,6.5,,7,6,6,,8,8,8,,6,7,7,,9,9,9,,7,7,7,,8,9,8,,8,8,8,,0,0,0,,0,0,0,,,,,,6.5,7.0,6.333333333333333,8.0,8.0,3.0,6.666666666666667,8.0,9.0,3.0,7.0,6.0,8.333333333333334,2.0,8.0,4.0,,,,,,,8
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,7,7,7.5,,8,8,8,,9,8,8,,8,7,7,,8,8,9,,8,9,8,,7,7,7,,9.5,8.5,9,,8.5,8,8,,9,9.5,9,,,,,,7.166666666666667,3.0,8.0,1.0,8.333333333333334,2.0,7.333333333333333,5.0,8.333333333333334,4.0,8.333333333333334,3.0,7.0,6.0,9.0,2.0,8.166666666666666,2.0,9.166666666666666,2.0,,,10
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,4,4,4,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,4.0,13.0,,,,,,,,,,,,,,,,,,,,,1
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,7.5,7,8,,7,8,8,,8,7,7,,7,7,8,,7,7,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.5,2.0,7.666666666666667,3.0,7.333333333333333,4.0,7.333333333333333,5.0,7.333333333333333,5.0,,,,,,,,,,,,,5
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,7.5,6,8,,7,6,7,,8,7,7,,9,8,9,,7,7,7,,9,9,9,,9,7,9,,8.5,7.5,9,,10,9,9.5,,9,9,9.5,,,,,,7.166666666666667,3.0,6.666666666666667,7.0,7.333333333333333,4.0,8.666666666666666,1.0,7.0,7.0,9.0,1.0,8.333333333333334,2.0,8.333333333333334,3.0,9.5,1.0,9.166666666666666,2.0,,,10
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,6,6.5,6,,6,6,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.166666666666667,8.0,5.666666666666667,9.0,,,,,,,,,,,,,,,,,,,2
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,6,5.5,6,,5,6,5,,7,7,6,,6,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.833333333333333,11.0,5.333333333333333,10.0,6.666666666666667,8.0,6.0,9.0,,,,,,,,,,,,,,,4
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,8,8,8.5,,8,8,8,,9,10,9,,9,8,9,,10,9,10,,8,10,8,,10,10,10,,9.5,8.5,9.5,,8,8.5,8,,10,10,10,,,,,,8.166666666666666,1.0,8.0,1.0,9.333333333333334,1.0,8.666666666666666,1.0,9.666666666666666,1.0,8.666666666666666,2.0,10.0,1.0,9.166666666666666,1.0,8.166666666666666,2.0,10.0,1.0,,,10
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2nd Place,2,8,8,8,,9,9,9,,9,9,9,,10,10,10,,10,9,10,,9,8,9,,9,9,9,,9,9,9.5,,9.5,9,9.5,,10,10,10,,9.5,10,9.5,,8.0,1.0,9.0,1.0,9.0,1.0,10.0,1.0,9.666666666666666,1.0,8.666666666666666,3.0,9.0,3.0,9.166666666666666,2.0,9.333333333333334,2.0,10.0,1.0,9.666666666666666,2.0,11
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,Eliminated Week 3,12,6,6,6,,7,7,7,,5,6,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,6.0,7.0,7.0,5.0,5.333333333333333,10.0,,,,,,,,,,,,,,,,,3
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,6,7,6,,6,5,6,,8,8,8,,8,7,7,,7,8,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,6.333333333333333,6.0,5.666666666666667,11.0,8.0,5.0,7.333333333333333,6.0,7.333333333333333,6.0,,,,,,,,,,,,,5
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,6,5,5,,7,6,7,,7,6,7,,7,5,7,,6,7,7,,7,7,8,,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,5.333333333333333,11.0,6.666666666666667,6.0,6.666666666666667,8.0,6.333333333333333,8.0,6.666666666666667,8.0,7.333333333333333,6.0,7.0,7.0,,,,,,,,,7
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,5,4,5,,7,6,7,,8,8,7,,9,8,8,,7,7,7,,6,6,6,,8,8,8,,9,8,9,,7.5,8,7.5,,8,8,8,,0,0,0,,4.666666666666667,12.0,6.666666666666667,6.0,7.666666666666667,6.0,8.333333333333334,4.0,7.0,7.0,6.0,7.0,8.0,6.0,8.666666666666666,3.0,7.666666666666667,5.0,8.0,4.0,,,10
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,8,8,7,,8,8,8,,9,9,9,,8,8,9,,9,8,9,,8,9,9,,9,9,10,,9,8,9,,9.5,9,9.5,,9.5,9,9.5,,10,10,10,,7.666666666666667,2.0,8.0,3.0,9.0,1.0,8.333333333333334,4.0,8.666666666666666,2.0,8.666666666666666,3.0,9.333333333333334,2.0,8.666666666666666,3.0,9.333333333333334,2.0,9.333333333333334,2.0,10.0,1.0,11
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,5,4,4,,6,5,6,,4,3,3,,4,4,4,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,4.333333333333333,13.0,5.666666666666667,11.0,3.3333333333333335,12.0,4.0,11.0,,,,,,,,,,,,,,,4
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,Eliminated Week 2,13,6,6,5,,6,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,5.666666666666667,9.0,6.0,9.0,,,,,,,,,,,,,,,,,,,2
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,6,7,7,,6,7,7,,8,7,8,,8,7,7,,7,8,8,,8,7,8,,9,9,9,,8.5,8.5,8.5,,0,0,0,,0,0,0,,0,0,0,,6.666666666666667,5.0,6.666666666666667,6.0,7.666666666666667,6.0,7.333333333333333,6.0,7.666666666666667,5.0,7.666666666666667,5.0,9.0,3.0,8.5,5.0,,,,,,,8
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,7,7,7,,8,7,8,,8,8,9,,9,8,10,,9,8,9,,10,8,10,,9,8,9,,9,9,10,,8.5,9,8.5,,0,0,0,,0,0,0,,7.0,4.0,7.666666666666667,4.0,8.333333333333334,4.0,9.0,3.0,8.666666666666666,2.0,9.333333333333334,1.0,8.666666666666666,5.0,9.333333333333334,1.0,8.666666666666666,4.0,,,,,9
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,Eliminated Week 6,8,6,5,6,,5,4,5,,5,5,5,,5,5,5,,6,6,6,,7,4,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,5.666666666666667,9.0,4.666666666666667,13.0,5.0,11.0,5.0,10.0,6.0,9.0,5.333333333333333,8.0,,,,,,,,,,,6
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,Eliminated Week 4,11,6,6,6,,6,6,6,,5,6,6,,5,6,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,6.0,7.0,6.0,9.0,5.666666666666667,9.0,5.333333333333333,9.0,,,,,,,,,,,,,,,4
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,8,7,8,,9,8,9,,9,9,9,,10,9,10,,8,8,9,,9,9,9,,10,9,10,,7.5,7.5,8,,9.5,9.5,9.5,,9,9.5,9,,9.5,9.5,9.5,,7.666666666666667,2.0,8.666666666666666,2.0,9.0,1.0,9.666666666666666,2.0,8.333333333333334,4.0,9.0,2.0,9.666666666666666,1.0,7.666666666666667,6.0,9.5,1.0,9.166666666666666,3.0,9.5,3.0,11
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,Eliminated Week 1,16,6.3333,7.3333,5.3333,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.3333,15.0,,,,,,,,,,,,,,,,,,,,,1
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,Eliminated Week 3,12,8,7,7,,7,7,7,,6,5,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.333333333333333,10.0,7.0,4.0,5.666666666666667,10.0,,,,,,,,,,,,,,,,,3
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,8,8,8,,7,6,6,,6,6,7,,9,9,10,,8,8,7,,8.3333,8.3333,7.3333,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,8.0,9.0,6.333333333333333,9.0,6.333333333333333,8.0,9.333333333333334,1.0,7.666666666666667,7.0,7.9999666666666664,8.0,,,,,,,,,,,6
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,9.6666,9.6666,9.6666,,7,7,7,,6,6,6,,8,7,7,,9,9,8,,11,11,10,,7,7.5,7,,0,0,0,,0,0,0,,0,0,0,,,,,,9.6666,6.0,7.0,4.0,6.0,9.0,7.333333333333333,7.0,8.666666666666666,3.0,10.666666666666666,4.0,7.166666666666667,7.0,,,,,,,,,7
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,8,7,7,,6,7,6,,6,5,6,,6,5,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,7.333333333333333,10.0,6.333333333333333,9.0,5.666666666666667,10.0,5.666666666666667,9.0,,,,,,,,,,,,,,,4
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,9.6666,8.6666,8.6666,,7,7,7,,9,8,9,,8,8,8,,7,8,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,8.999933333333333,7.0,7.0,4.0,8.666666666666666,2.0,8.0,4.0,7.333333333333333,8.0,,,,,,,,,,,,,5
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,8.6666,9.6666,8.6666,,6,7,6,,8,5,7,,5,5,6,,7,8,7,,8,8,8,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,8.999933333333333,7.0,6.333333333333333,9.0,6.666666666666667,6.0,5.333333333333333,10.0,7.333333333333333,8.0,8.0,7.0,,,,,,,,,,,6
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,7,6,6,,7,7,6,,5,4,5,,5,6,5,,7,7,7,,6.6666,8.6666,6.6666,,8,8,7.5,,0,0,0,,0,0,0,,0,0,0,,,,,,6.333333333333333,14.0,6.666666666666667,7.0,4.666666666666667,13.0,5.333333333333333,10.0,7.0,10.0,7.333266666666667,9.0,7.833333333333333,6.0,,,,,,,,,7
Joanna Krupa,Derek Hough,Model,,Poland,30,9,Eliminated Week 9,4,11.3333,11.3333,11.3333,,6,7,7,,7,8,8,,9,8,9,,8,8,8,,11.3333,12.3333,12.3333,,9,9,9.5,,8.5,8.5,9,,9,9,9,,0,0,0,,,,,,11.3333,1.0,6.666666666666667,7.0,7.666666666666667,3.0,8.666666666666666,3.0,8.0,4.0,11.999966666666666,1.0,9.166666666666666,1.0,8.666666666666666,2.0,9.0,2.0,,,,,9
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,Eliminated Week 2,14,7.3333,6.3333,6.3333,,6,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.666633333333333,12.0,6.0,13.0,,,,,,,,,,,,,,,,,,,2
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,Withdrew,13,7.3333,6.3333,6.3333,,6,6,6,,6,4,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.666633333333333,12.0,6.0,13.0,5.0,12.0,,,,,,,,,,,,,,,,,3
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,Eliminated Week 1,15,7.3333,5.3333,6.3333,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.3333,15.0,,,,,,,,,,,,,,,,,,,,,1
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,10.3333,11.3333,10.3333,,9,9,9,,8,6,7,,6,6,6,,8,8,8,,10.6666,11.6666,10.6666,,8.5,9,9,,8,8.5,8.5,,0,0,0,,0,0,0,,,,,,10.666633333333332,2.0,9.0,1.0,7.0,4.0,6.0,8.0,8.0,4.0,10.999933333333333,3.0,8.833333333333334,2.0,8.333333333333334,4.0,,,,,,,8
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,11.3333,8.3333,11.3333,,9,9,9,,10,7,10,,10,8,10,,9,9,9,,11,10,12,,8.5,7.5,8.5,,9.5,10,10,,9.3333,9.6666,10,,9.4444,9.4444,9.4444,,,,,,10.3333,3.0,9.0,1.0,9.0,1.0,9.333333333333334,1.0,9.0,2.0,11.0,2.0,8.166666666666666,5.0,9.833333333333334,1.0,9.666633333333333,1.0,9.4444,2.0,,,10
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,10.3333,9.3333,10.3333,,8,9,8,,7,7,7,,8,8,8,,10,9,10,,10.3333,10.3333,10.3333,,8.5,8.5,9,,8.5,8,8.5,,8,8.3333,8.3333,,9.6666,9.6666,9.6666,,,,,,9.999966666666666,5.0,8.333333333333334,3.0,7.0,4.0,8.0,4.0,9.666666666666666,1.0,10.3333,5.0,8.666666666666666,3.0,8.333333333333334,4.0,8.2222,4.0,9.6666,1.0,,,10
Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,9.6666,10.6666,10.6666,,6,7,6,,7,6,7,,8,7,8,,8,8,8,,8.6666,7.6666,8.6666,,8.5,8.5,9,,8,8.5,9,,8.6666,8.6666,8.6666,,8.5,8.5,8.2222,,,,,,10.333266666666667,4.0,6.333333333333333,9.0,6.666666666666667,6.0,7.666666666666667,6.0,8.0,4.0,8.333266666666667,6.0,8.666666666666666,3.0,8.5,3.0,8.6666,3.0,8.4074,3.0,,,10
Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,5,5,5,,7,6,6,,7,6,7,,5.5,5.5,5.5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.0,10.0,6.333333333333333,8.0,6.666666666666667,7.0,5.5,8.0,,,,,,,,,,,,,,,4
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,Eliminated Week 2,11,6,6,6,,7,6,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.0,6.0,6.666666666666667,6.0,,,,,,,,,,,,,,,,,,,2
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,7,5,6,,7,7,7,,7,7,7,,6,6,6,,6,6,6,,8.6666,8.6666,8.6666,,8.5,8,8,,7,7,7.5,,0,0,0,,0,0,0,,,,,,6.0,6.0,7.0,5.0,7.0,4.0,6.0,7.0,6.0,6.0,8.6666,6.0,8.166666666666666,6.0,7.166666666666667,5.0,,,,,,,8
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,5,4,5,,4,4,4,,5,4,4,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,4.666666666666667,11.0,4.0,11.0,4.333333333333333,10.0,,,,,,,,,,,,,,,,,3
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,6,6,6,,6,5,5,,7,6,7,,7.5,6.5,8,,6,6,6,,10.3333,10.3333,10.3333,,8.5,9,8.5,,7.5,7.5,7.5,,8.5,8.5,9,,0,0,0,,,,,,6.0,6.0,5.333333333333333,9.0,6.666666666666667,7.0,7.333333333333333,4.0,6.0,6.0,10.3333,3.0,8.666666666666666,3.0,7.5,4.0,8.666666666666666,4.0,,,,,9
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,8,7,8,,8,8,8,,9,8,9,,9,8,9,,9,9,9,,9,9,9,,9,9,9,,9,8.5,9,,10,9.5,10,,9.3333,8.7777,8.7777,,,,,,7.666666666666667,2.0,8.0,2.0,8.666666666666666,1.0,8.666666666666666,1.0,9.0,2.0,9.0,5.0,9.0,1.0,8.833333333333334,2.0,9.833333333333334,1.0,8.9629,3.0,,,10
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7,6,8,,7,7,8,,7,7,7,,7.5,7.5,8.5,,7,6,8,,9.6666,9.6666,10.6666,,8.5,8.5,8.5,,0,0,0,,0,0,0,,0,0,0,,,,,,7.0,3.0,7.333333333333333,4.0,7.0,4.0,7.833333333333333,3.0,7.0,5.0,9.999933333333333,4.0,8.5,4.0,,,,,,,,,7
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,9,7,9,,10,8,10,,8,6,9,,8.5,8,8.5,,10,9,10,,12.3333,10.3333,13.3333,,9,9,9,,10,9.5,10,,10,9.5,10,,9.5,9.5,9.7777,,,,,,8.333333333333334,1.0,9.333333333333334,1.0,7.666666666666667,2.0,8.333333333333334,2.0,9.666666666666666,1.0,11.999966666666666,1.0,9.0,1.0,9.833333333333334,1.0,9.833333333333334,1.0,9.592566666666666,1.0,,,10
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,7,7,7,,8,7,8,,8,7,8,,6.5,6.5,6.5,,7,7,8,,12,10,12,,8.5,8.5,8.5,,8.5,9,9,,9.5,9,9.5,,9.2222,8.8888,8.8888,,,,,,7.0,3.0,7.666666666666667,3.0,7.666666666666667,2.0,6.5,5.0,7.333333333333333,4.0,11.333333333333334,2.0,8.5,4.0,8.833333333333334,2.0,9.333333333333334,3.0,8.999933333333333,2.0,,,10
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,6,5,5,,5,5,5,,5,5,5,,5,5.5,5.5,,5,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5.333333333333333,9.0,5.0,10.0,5.0,9.0,5.333333333333333,9.0,5.0,8.0,,,,,,,,,,,,,5
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,7,6,7,,6,7,7,,7,7,7,,6.5,6.5,6,,8,7,8,,8.3333,8.3333,8.3333,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6.666666666666667,5.0,6.666666666666667,6.0,7.0,4.0,6.333333333333333,6.0,7.666666666666667,3.0,8.3333,7.0,,,,,,,,,,,6
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,5,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,5.0,10.0,,,,,,,,,,,,,,,,,,,,,1
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,6,6,6,,7,6,6,,7,6,7,,6,6,5.5,,7,7,7,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,6.0,7.0,6.333333333333333,8.0,6.666666666666667,7.0,5.833333333333333,6.0,7.0,6.0,,,,,,,,,,,,,5
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,8,7,8,,8,7,7,,8,7,8,,7,6.5,6.5,,8,5,7,,10.3333,9.3333,10.3333,,9,8.5,8,8,9.5,9,9.5,,10,9,10,,9.3333,8.6666,9.3333,,,,,,7.666666666666667,2.0,7.333333333333333,3.0,7.666666666666667,5.0,6.666666666666667,4.0,6.666666666666667,7.0,9.999966666666666,4.0,8.375,5.0,9.333333333333334,3.0,9.666666666666666,2.0,9.111066666666666,2.0,,,10
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,8,8,8,,8,8,8,,8,8,8,,9.5,9,9.5,,8,8,9,,9,10,10,,9.5,9,9,9,9.5,9.5,9.5,,10,10,10,,10,10,10,,,,,,8.0,1.0,8.0,1.0,8.0,2.0,9.333333333333334,1.0,8.333333333333334,2.0,9.666666666666666,5.0,9.125,1.0,9.5,1.0,10.0,1.0,10.0,1.0,,,10
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,8,7,7,,7,7,7,,8,8,8,,6,7,6.5,,8,8,8,,10,10,10,,9,8.5,8.5,8.5,0,0,0,,0,0,0,,0,0,0,,,,,,7.333333333333333,4.0,7.0,5.0,8.0,2.0,6.5,5.0,8.0,3.0,10.0,3.0,8.625,4.0,,,,,,,,,7
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,7,5,7,,7,7,7,,8,8,7,,6,5.5,5.5,,8,8,8,,7.3333,7.3333,7.3333,,9.5,8.5,8.5,8.5,8,8,8,,0,0,0,,0,0,0,,,,,,6.333333333333333,5.0,7.0,5.0,7.666666666666667,5.0,5.666666666666667,7.0,8.0,3.0,7.3333,7.0,8.75,3.0,8.0,4.0,,,,,,,8
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,5,5,5,,6,6,6,,6,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,5.0,10.0,6.0,9.0,6.0,10.0,,,,,,,,,,,,,,,,,3
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,6,5,5,,4,5,3,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,5.333333333333333,9.0,4.0,11.0,,,,,,,,,,,,,,,,,,,2
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,7,8,8,,7,7,7,,8,8,8,,8,8,8,,9,9,9,,11.3333,12.3333,12.3333,,9,9,9.5,9,9,9.5,10,,9.5,9.5,9.5,,0,0,0,,,,,,7.666666666666667,2.0,7.0,5.0,8.0,2.0,8.0,2.0,9.0,1.0,11.999966666666666,1.0,9.125,1.0,9.5,1.0,9.5,3.0,,,,,9
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,5,5,5,,6,6,6,,7,6,7,,5,4.5,4.5,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,5.0,10.0,6.0,9.0,6.666666666666667,7.0,4.666666666666667,9.0,,,,,,,,,,,,,,,4
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6,7,6,,8,8,7,,8,9,9,,8,7.5,7.5,,7,8,8,,10.6666,10.6666,10.6666,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,,,,6.333333333333333,5.0,7.666666666666667,2.0,8.666666666666666,1.0,7.666666666666667,3.0,7.666666666666667,5.0,10.6666,2.0,,,,,,,,,,,6
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,6,6,6,,7,8,7,,6,6,7,,5,5.5,5.5,,6,6,6,,9.6666,8.6666,9.6666,,8.5,8,8,8,7.5,8,8,,8.5,9,9,,8.3333,9,8.3333,,,,,,6.0,7.0,7.333333333333333,3.0,6.333333333333333,9.0,5.333333333333333,8.0,6.0,8.0,9.333266666666667,6.0,8.125,6.0,7.833333333333333,5.0,8.833333333333334,4.0,8.555533333333335,3.0,,,10
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,Eliminated Week 9,4,8,8,8,,7,7,7,,7,7,7,,8,8,9,,8,7,7,,8,8,8,,9,8.5,7.5,8,7.5,7.5,8,,8,8,8,,0,0,0,,,,,,8.0,1.0,7.0,4.0,7.0,5.0,8.333333333333334,2.0,7.333333333333333,6.0,8.0,6.0,8.25,1.0,7.666666666666667,5.0,8.0,4.0,,,,,9
