season,week,celebrity_name,ballroom_partner,results,placement,judge1_score,judge2_score,judge3_score,judge4_score,total_judge_score,judge_rank,judge_percent,active,true_elim_flag,exit_type,exit_week,data_anomaly_zero_score
6,3,Steve Guttenberg,Anna Trebunskaya,Eliminated Week 3,10,7.0,7.0,7.0,,21.0,7.5,0.09210526315789473,True,1,eliminated,3.0,False
6,3,Priscilla Presley,Louis van Amstel,Eliminated Week 5,8,8.0,9.0,9.0,,26.0,2.0,0.11403508771929824,True,0,eliminated,5.0,False
6,3,Marlee Matlin,Fabian Sanchez,Eliminated Week 6,7,7.0,7.0,7.0,,21.0,7.5,0.09210526315789473,True,0,eliminated,6.0,False
6,3,Shannon Elizabeth,Derek Hough,Eliminated Week 7,6,8.0,8.0,8.0,,24.0,4.0,0.10526315789473684,True,0,eliminated,7.0,False
6,3,Marissa Jaret Winokur,Tony Dovolani,Eliminated Week 9,4,6.0,7.0,6.0,,19.0,10.0,0.08333333333333333,True,0,eliminated,9.0,False
6,3,Jason Taylor,Edyta Sliwinska,2nd Place,2,8.0,7.0,8.0,,23.0,5.0,0.10087719298245613,True,0,finished,10.0,False
6,3,Kristi Yamaguchi,Mark Ballas,1st Place,1,9.0,9.0,9.0,,27.0,1.0,0.11842105263157894,True,0,finished,10.0,False
6,3,Monica Seles,Jonathan Roberts,Eliminated Week 2,11,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
6,3,Penn Jillette,Kym Johnson,Eliminated Week 2,12,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
6,3,Adam Carolla,Julianne Hough,Eliminated Week 4,9,7.0,7.0,7.0,,21.0,7.5,0.09210526315789473,True,0,eliminated,4.0,False
6,3,Mario,Karina Smirnoff,Eliminated Week 8,5,7.0,6.0,8.0,,21.0,7.5,0.09210526315789473,True,0,eliminated,8.0,False
7,3,Ted McGinley,Inna Brayer,Eliminated Week 1,12,0.0,0.0,0.0,,0.0,,,False,0,eliminated,1.0,True
7,3,Cloris Leachman,Corky Ballas,Eliminated Week 6,7,6.0,5.0,5.0,,16.0,9.0,0.08040201005025126,True,0,eliminated,6.0,False
7,3,Susan Lucci,Tony Dovolani,Eliminated Week 7,6,7.0,7.0,7.0,,21.0,6.5,0.10552763819095477,True,0,eliminated,7.0,False
7,3,Cody Linley,Julianne Hough,Eliminated Week 9,4,7.0,7.0,7.0,,21.0,6.5,0.10552763819095477,True,0,eliminated,9.0,False
7,3,Misty May-Treanor,Maksim Chmerkoskiy,Withdrew,10,0.0,0.0,0.0,,0.0,,,False,0,withdrew,2.0,True
7,3,Maurice Greene,Cheryl Burke,Eliminated Week 8,5,8.0,8.0,8.0,,24.0,3.0,0.12060301507537688,True,0,eliminated,8.0,False
7,3,Warren Sapp,Kym Johnson,2nd Place,2,9.0,8.0,8.0,,25.0,2.0,0.12562814070351758,True,0,finished,10.0,False
7,3,Jeffrey Ross,Edyta Sliwinska,Eliminated Week 1,13,0.0,0.0,0.0,,0.0,,,False,0,eliminated,1.0,True
7,3,Toni Braxton,Alec Mazo,Eliminated Week 5,8,8.0,7.0,7.0,,22.0,4.5,0.11055276381909548,True,0,eliminated,5.0,False
7,3,Lance Bass,Lacey Schwimmer,3rd Place,3,8.0,7.0,7.0,,22.0,4.5,0.11055276381909548,True,0,finished,10.0,False
7,3,Kim Kardashian,Mark Ballas,Eliminated Week 2,11,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
7,3,Rocco DiSpirito,Karina Smirnoff,Eliminated Week 4,9,7.0,7.0,6.0,,20.0,8.0,0.10050251256281408,True,0,eliminated,4.0,False
7,3,Brooke Burke,Derek Hough,1st Place,1,9.0,10.0,9.0,,28.0,1.0,0.1407035175879397,True,0,finished,10.0,False
8,3,Gilles Marini,Cheryl Burke,2nd Place,2,9.0,9.0,9.0,,27.0,2.0,0.1062992125984252,True,0,finished,11.0,False
8,3,Denise Richards,Maksim Chmerkoskiy,Eliminated Week 3,12,5.0,6.0,5.0,,16.0,10.0,0.06299212598425197,True,1,eliminated,3.0,False
8,3,David Alan Grier,Kym Johnson,Eliminated Week 5,9,8.0,8.0,8.0,,24.0,5.0,0.09448818897637795,True,0,eliminated,5.0,False
8,3,Lawrence Taylor,Edyta Sliwinska,Eliminated Week 7,7,7.0,6.0,7.0,,20.0,8.0,0.07874015748031496,True,0,eliminated,7.0,False
8,3,Ty Murray,Chelsie Hightower,Eliminated Week 10,4,8.0,8.0,7.0,,23.0,6.5,0.09055118110236221,True,0,eliminated,10.0,False
8,3,Shawn Johnson,Mark Ballas,1st Place,1,9.0,9.0,9.0,,27.0,2.0,0.1062992125984252,True,0,finished,11.0,False
8,3,Steve Wozniak,Karina Smirnoff,Eliminated Week 4,10,4.0,3.0,3.0,,10.0,12.0,0.03937007874015748,True,0,eliminated,4.0,False
8,3,Belinda Carlisle,Jonathan Roberts,Eliminated Week 2,13,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
8,3,Chuck Wicks,Julianne Hough,Eliminated Week 8,6,8.0,7.0,8.0,,23.0,6.5,0.09055118110236221,True,0,eliminated,8.0,False
8,3,Lil' Kim,Derek Hough,Eliminated Week 9,5,8.0,8.0,9.0,,25.0,4.0,0.0984251968503937,True,0,eliminated,9.0,False
8,3,Steve-O,Lacey Schwimmer,Eliminated Week 6,8,5.0,5.0,5.0,,15.0,11.0,0.05905511811023622,True,0,eliminated,6.0,False
8,3,Holly Madison,Dmitry Chaplin,Eliminated Week 4,11,5.0,6.0,6.0,,17.0,9.0,0.06692913385826772,True,0,eliminated,4.0,False
8,3,Melissa Rycroft,Tony Dovolani,3rd Place,3,9.0,9.0,9.0,,27.0,2.0,0.1062992125984252,True,0,finished,11.0,False
9,3,Ashley Hamiliton,Edyta Sliwinska,Eliminated Week 1,16,0.0,0.0,0.0,,0.0,,,False,0,eliminated,1.0,True
9,3,Debi Mazar,Maksim Chmerkoskiy,Eliminated Week 3,12,6.0,5.0,6.0,,17.0,10.5,0.06589147286821706,True,1,eliminated,3.0,False
9,3,Melissa Joan Hart,Mark Ballas,Eliminated Week 6,9,6.0,6.0,7.0,,19.0,8.0,0.07364341085271318,True,0,eliminated,6.0,False
9,3,Mark Dacascos,Lacey Schwimmer,Eliminated Week 7,6,6.0,6.0,6.0,,18.0,9.0,0.06976744186046512,True,0,eliminated,7.0,False
9,3,Chuck Liddell,Anna Trebunskaya,Eliminated Week 4,11,6.0,5.0,6.0,,17.0,10.5,0.06589147286821706,True,0,eliminated,4.0,False
9,3,Natalie Coughlin,Alec Mazo,Eliminated Week 5,10,9.0,8.0,9.0,,26.0,2.0,0.10077519379844961,True,0,eliminated,5.0,False
9,3,Louie Vito,Chelsie Hightower,Eliminated Week 6,8,8.0,5.0,7.0,,20.0,6.5,0.07751937984496124,True,0,eliminated,6.0,False
9,3,Michael Irvin,Anna Demidova,Eliminated Week 7,7,5.0,4.0,5.0,,14.0,13.0,0.05426356589147287,True,0,eliminated,7.0,False
9,3,Joanna Krupa,Derek Hough,Eliminated Week 9,4,7.0,8.0,8.0,,23.0,3.0,0.08914728682170543,True,0,eliminated,9.0,False
9,3,Kathy Ireland,Tony Dovolani,Eliminated Week 2,14,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
9,3,Tom DeLay,Cheryl Burke,Withdrew,13,6.0,4.0,5.0,,15.0,12.0,0.05813953488372093,True,0,withdrew,3.0,False
9,3,Macy Gray,Jonathan Roberts,Eliminated Week 1,15,0.0,0.0,0.0,,0.0,,,False,0,eliminated,1.0,True
9,3,Aaron Carter,Karina Smirnoff,Eliminated Week 8,5,8.0,6.0,7.0,,21.0,4.5,0.08139534883720931,True,0,eliminated,8.0,False
9,3,Mya,Dmitry Chaplin,2nd Place,2,10.0,7.0,10.0,,27.0,1.0,0.10465116279069768,True,0,finished,10.0,False
9,3,Donny Osmond,Kym Johnson,1st Place,1,7.0,7.0,7.0,,21.0,4.5,0.08139534883720931,True,0,finished,10.0,False
9,3,Kelly Osbourne,Louis van Amstel,3rd Place,3,7.0,6.0,7.0,,20.0,6.5,0.07751937984496124,True,0,finished,10.0,False
10,3,Aiden Turner,Edyta Sliwinska,Eliminated Week 4,9,7.0,6.0,7.0,,20.0,7.5,0.09852216748768473,True,0,eliminated,4.0,False
10,3,Shannen Doherty,Mark Ballas,Eliminated Week 2,11,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
10,3,Niecy Nash,Louis van Amstel,Eliminated Week 8,5,7.0,7.0,7.0,,21.0,5.0,0.10344827586206896,True,0,eliminated,8.0,False
10,3,Buzz Aldrin,Ashly DelGrosso,Eliminated Week 3,10,5.0,4.0,4.0,,13.0,10.0,0.06403940886699508,True,1,eliminated,3.0,False
10,3,Chad Ochocinco,Cheryl Burke,Eliminated Week 9,4,7.0,6.0,7.0,,20.0,7.5,0.09852216748768473,True,0,eliminated,9.0,False
10,3,Evan Lysacek,Anna Trebunskaya,2nd Place,2,9.0,8.0,9.0,,26.0,1.0,0.12807881773399016,True,0,finished,10.0,False
10,3,Pamela Anderson,Damian Whitewood,Eliminated Week 7,6,7.0,7.0,7.0,,21.0,5.0,0.10344827586206896,True,0,eliminated,7.0,False
10,3,Nicole Scherzinger,Derek Hough,1st Place,1,8.0,6.0,9.0,,23.0,2.5,0.11330049261083744,True,0,finished,10.0,False
10,3,Erin Andrews,Maksim Chmerkoskiy,3rd Place,3,8.0,7.0,8.0,,23.0,2.5,0.11330049261083744,True,0,finished,10.0,False
10,3,Kate Gosselin,Tony Dovolani,Eliminated Week 5,8,5.0,5.0,5.0,,15.0,9.0,0.07389162561576355,True,0,eliminated,5.0,False
10,3,Jake Pavelka,Chelsie Hightower,Eliminated Week 6,7,7.0,7.0,7.0,,21.0,5.0,0.10344827586206896,True,0,eliminated,6.0,False
11,3,David Hasselhoff,Kym Johnson,Eliminated Week 1,12,0.0,0.0,0.0,,0.0,,,False,0,eliminated,1.0,True
11,3,Florence Henderson,Corky Ballas,Eliminated Week 5,8,7.0,6.0,7.0,,20.0,7.5,0.09049773755656108,True,0,eliminated,5.0,False
11,3,Kyle Massey,Lacey Schwimmer,2nd Place,2,8.0,7.0,8.0,,23.0,5.5,0.10407239819004525,True,0,finished,10.0,False
11,3,Jennifer Grey,Derek Hough,1st Place,1,8.0,8.0,8.0,,24.0,3.0,0.1085972850678733,True,0,finished,10.0,False
11,3,Rick Fox,Cheryl Burke,Eliminated Week 7,6,8.0,8.0,8.0,,24.0,3.0,0.1085972850678733,True,0,eliminated,7.0,False
11,3,Kurt Warner,Anna Trebunskaya,Eliminated Week 8,5,8.0,8.0,7.0,,23.0,5.5,0.10407239819004525,True,0,eliminated,8.0,False
11,3,Margaret Cho,Louis van Amstel,Eliminated Week 3,10,6.0,6.0,6.0,,18.0,10.0,0.08144796380090498,True,1,eliminated,3.0,False
11,3,Michael Bolton,Chelsie Hightower,Eliminated Week 2,11,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
11,3,Brandy,Maksim Chmerkoskiy,Eliminated Week 9,4,8.0,8.0,8.0,,24.0,3.0,0.1085972850678733,True,0,eliminated,9.0,False
11,3,The Situation,Karina Smirnoff,Eliminated Week 4,9,7.0,6.0,7.0,,20.0,7.5,0.09049773755656108,True,0,eliminated,4.0,False
11,3,Audrina Patridge,Tony Dovolani,Eliminated Week 6,7,8.0,9.0,9.0,,26.0,1.0,0.11764705882352941,True,0,eliminated,6.0,False
11,3,Bristol Palin,Mark Ballas,3rd Place,3,6.0,6.0,7.0,,19.0,9.0,0.08597285067873303,True,0,finished,10.0,False
12,3,Ralph Macchio,Karina Smirnoff,Eliminated Week 9,4,7.0,7.0,7.0,,21.0,6.0,0.09813084112149532,True,0,eliminated,9.0,False
12,3,Chelsea Kane,Mark Ballas,3rd Place,3,7.0,8.0,8.0,,23.0,3.5,0.10747663551401869,True,0,finished,10.0,False
12,3,Kirstie Alley,Maksim Chmerkoskiy,2nd Place,2,7.0,7.0,7.0,,21.0,6.0,0.09813084112149532,True,0,finished,10.0,False
12,3,Hines Ward,Kym Johnson,1st Place,1,9.0,8.0,8.0,,25.0,1.5,0.11682242990654206,True,0,finished,10.0,False
12,3,Sugar Ray Leonard,Anna Trebunskaya,Eliminated Week 4,9,7.0,6.0,7.0,,20.0,8.5,0.09345794392523364,True,0,eliminated,4.0,False
12,3,Chris Jericho,Cheryl Burke,Eliminated Week 6,7,7.0,7.0,7.0,,21.0,6.0,0.09813084112149532,True,0,eliminated,6.0,False
12,3,Petra Nemcova,Dmitry Chaplin,Eliminated Week 5,8,8.0,9.0,8.0,,25.0,1.5,0.11682242990654206,True,0,eliminated,5.0,False
12,3,Mike Catherwood,Lacey Schwimmer,Eliminated Week 2,11,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
12,3,Romeo,Chelsie Hightower,Eliminated Week 8,5,7.0,6.0,7.0,,20.0,8.5,0.09345794392523364,True,0,eliminated,8.0,False
12,3,Wendy Williams,Tony Dovolani,Eliminated Week 3,10,5.0,5.0,5.0,,15.0,10.0,0.07009345794392523,True,1,eliminated,3.0,False
12,3,Kendra Wilkinson,Louis van Amstel,Eliminated Week 7,6,8.0,7.0,8.0,,23.0,3.5,0.10747663551401869,True,0,eliminated,7.0,False
13,3,Elisabetta Canalis,Valentin Chmerkovskiy,Eliminated Week 2,11,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
13,3,David Arquette,Kym Johnson,Eliminated Week 7,6,8.0,8.0,8.0,,24.0,5.5,0.10126582278481013,True,0,eliminated,7.0,False
13,3,Ricki Lake,Derek Hough,3rd Place,3,9.0,9.0,9.0,,27.0,1.0,0.11392405063291139,True,0,finished,10.0,False
13,3,J.R. Martinez,Karina Smirnoff,1st Place,1,9.0,8.0,9.0,,26.0,2.5,0.10970464135021098,True,0,finished,10.0,False
13,3,Metta World Peace (Ron),Peta Murgatroyd,Eliminated Week 1,12,0.0,0.0,0.0,,0.0,,,False,0,eliminated,1.0,True
13,3,Hope Solo,Maksim Chmerkoskiy,Eliminated Week 9,4,8.0,8.0,8.0,,24.0,5.5,0.10126582278481013,True,0,eliminated,9.0,False
13,3,Chynna Phillips,Tony Dovolani,Eliminated Week 4,9,8.0,9.0,9.0,,26.0,2.5,0.10970464135021098,True,0,eliminated,4.0,False
13,3,Kristin Cavallari,Mark Ballas,Eliminated Week 3,10,8.0,8.0,8.0,,24.0,5.5,0.10126582278481013,True,1,eliminated,3.0,False
13,3,Carson Kressley,Anna Trebunskaya,Eliminated Week 5,8,8.0,7.0,8.0,,23.0,8.0,0.0970464135021097,True,0,eliminated,5.0,False
13,3,Chaz Bono,Lacey Schwimmer,Eliminated Week 6,7,6.0,6.0,6.0,,18.0,10.0,0.0759493670886076,True,0,eliminated,6.0,False
13,3,Nancy Grace,Tristan MacManus,Eliminated Week 8,5,7.0,7.0,7.0,,21.0,9.0,0.08860759493670886,True,0,eliminated,8.0,False
13,3,Rob Kardashian,Cheryl Burke,2nd Place,2,8.0,8.0,8.0,,24.0,5.5,0.10126582278481013,True,0,finished,10.0,False
14,3,William Levy,Cheryl Burke,3rd Place,3,9.0,9.0,10.0,,28.0,2.0,0.1,True,0,finished,10.0,False
14,3,Jack Wagner,Anna Trebunskaya,Eliminated Week 3,11,8.0,8.0,8.0,,24.0,9.0,0.08571428571428572,True,1,eliminated,3.0,False
14,3,Sherri Sheperd,Valentin Chmerkovskiy,Eliminated Week 4,10,8.0,8.0,8.0,,24.0,9.0,0.08571428571428572,True,0,eliminated,4.0,False
14,3,Jaleel White,Kym Johnson,Eliminated Week 7,7,9.0,8.0,8.0,,25.0,5.5,0.08928571428571429,True,0,eliminated,7.0,False
14,3,Roshon Fegan,Chelsie Hightower,Eliminated Week 8,6,8.0,8.0,9.0,,25.0,5.5,0.08928571428571429,True,0,eliminated,8.0,False
14,3,Melissa Gilbert,Maksim Chmerkoskiy,Eliminated Week 8,5,8.0,8.0,8.0,,24.0,9.0,0.08571428571428572,True,0,eliminated,8.0,False
14,3,Martina Navratilova,Tony Dovolani,Eliminated Week 2,12,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
14,3,Donald Driver,Peta Murgatroyd,1st Place,1,9.0,8.0,9.0,,26.0,4.0,0.09285714285714286,True,0,finished,10.0,False
14,3,Gavin DeGraw,Karina Smirnoff,Eliminated Week 5,9,8.0,8.0,8.0,,24.0,9.0,0.08571428571428572,True,0,eliminated,5.0,False
14,3,Gladys Knight,Tristan MacManus,Eliminated Week 6,8,8.0,8.0,8.0,,24.0,9.0,0.08571428571428572,True,0,eliminated,6.0,False
14,3,Katherine Jenkins,Mark Ballas,2nd Place,2,10.0,9.0,10.0,,29.0,1.0,0.10357142857142858,True,0,finished,10.0,False
14,3,Maria Menounos,Derek Hough,Eliminated Week 9,4,9.0,9.0,9.0,,27.0,3.0,0.09642857142857143,True,0,eliminated,9.0,False
15,3,Gilles Marini,Peta Murgatroyd,Eliminated Week 8,6,8.5,8.5,8.5,,25.5,5.5,0.09172661870503597,True,0,eliminated,8.0,False
15,3,Sabrina Bryan,Louis van Amstel,Eliminated Week 6,8,8.5,8.5,8.5,,25.5,5.5,0.09172661870503597,True,0,eliminated,6.0,False
15,3,Kirstie Alley,Maksim Chmerkoskiy,Eliminated Week 8,7,8.0,8.0,8.0,,24.0,9.5,0.08633093525179857,True,0,eliminated,8.0,False
15,3,Kelly Monaco,Valentin Chmerkovskiy,3rd Place,3,9.0,9.0,9.0,,27.0,1.5,0.09712230215827339,True,0,finished,10.0,False
15,3,Apolo Anton Ohno,Karina Smirnoff,Eliminated Week 9,5,9.0,8.0,8.5,,25.5,5.5,0.09172661870503597,True,0,eliminated,9.0,False
15,3,Emmitt Smith,Cheryl Burke,Eliminated Week 9,4,8.5,8.0,8.5,,25.0,8.0,0.08992805755395683,True,0,eliminated,9.0,False
15,3,Shawn Johnson,Derek Hough,2nd Place,2,9.0,8.0,9.5,,26.5,3.0,0.09532374100719425,True,0,finished,10.0,False
15,3,Pamela Anderson,Tristan MacManus,Eliminated Week 1,13,0.0,0.0,0.0,,0.0,,,False,0,eliminated,1.0,True
15,3,Helio Castroneves,Chelsie Hightower,Eliminated Week 3,10,8.5,8.5,8.5,,25.5,5.5,0.09172661870503597,True,1,eliminated,3.0,False
15,3,Joey Fatone,Kym Johnson,Eliminated Week 2,12,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
15,3,Drew Lachey,Anna Trebunskaya,Eliminated Week 3,11,8.0,8.0,8.0,,24.0,9.5,0.08633093525179857,True,1,eliminated,3.0,False
15,3,Bristol Palin,Mark Ballas,Eliminated Week 4,9,7.5,7.5,7.5,,22.5,11.0,0.08093525179856115,True,0,eliminated,4.0,False
15,3,Melissa Rycroft,Tony Dovolani,1st Place,1,9.0,9.0,9.0,,27.0,1.5,0.09712230215827339,True,0,finished,10.0,False
16,3,Ingo Rademacher,Kym Johnson,Eliminated Week 9,5,7.0,7.0,7.0,,21.0,7.0,0.08936185423294338,True,0,eliminated,9.0,False
16,3,Zendaya,Valentin Chmerkovskiy,2nd Place,2,8.6666,8.6666,8.6666,,25.9998,1.5,0.11063763512788959,True,0,finished,10.0,False
16,3,Dorothy Hamill,Tristan MacManus,Withdrew,12,0.0,0.0,0.0,,0.0,,,False,0,withdrew,2.0,True
16,3,Victor Ortiz,Lindsay Arnold,Eliminated Week 6,8,8.0,7.0,8.0,,23.0,4.5,0.09787250701703322,True,0,eliminated,6.0,False
16,3,Alexandra Raisman,Mark Ballas,Eliminated Week 10,4,7.0,8.0,8.0,,23.0,4.5,0.09787250701703322,True,0,eliminated,10.0,False
16,3,Jacoby Jones,Karina Smirnoff,3rd Place,3,8.6666,8.6666,8.6666,,25.9998,1.5,0.11063763512788959,True,0,finished,10.0,False
16,3,D. L. Hughley,Cheryl Burke,Eliminated Week 5,9,6.0,5.0,5.0,,16.0,10.0,0.06808522227271877,True,0,eliminated,5.0,False
16,3,Andy Dick,Sharna Burgess,Eliminated Week 7,7,6.0,6.0,6.0,,18.0,9.0,0.07659587505680861,True,0,eliminated,7.0,False
16,3,Wynonna Judd,Tony Dovolani,Eliminated Week 3,11,5.0,5.0,5.0,,15.0,11.0,0.06382989588067384,True,1,eliminated,3.0,False
16,3,Kellie Pickler,Derek Hough,1st Place,1,8.0,9.0,8.0,,25.0,3.0,0.10638315980112308,True,0,finished,10.0,False
16,3,Lisa Vanderpump,Gleb Savchenko,Eliminated Week 4,10,7.0,7.0,7.0,,21.0,7.0,0.08936185423294338,True,0,eliminated,4.0,False
16,3,Sean Lowe,Peta Murgatroyd,Eliminated Week 8,6,7.0,7.0,7.0,,21.0,7.0,0.08936185423294338,True,0,eliminated,8.0,False
17,3,Valerie Harper,Tristan MacManus,Eliminated Week 4,10,6.0,5.0,5.0,,16.0,10.5,0.06274509803921569,True,0,eliminated,4.0,False
17,3,Brant Daugherty,Peta Murgatroyd,Eliminated Week 8,7,9.0,9.0,9.0,,27.0,1.0,0.10588235294117647,True,0,eliminated,8.0,False
17,3,Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Eliminated Week 9,6,8.0,9.0,8.0,,25.0,4.5,0.09803921568627451,True,0,eliminated,9.0,False
17,3,Leah Remini,Tony Dovolani,Eliminated Week 10,5,8.0,8.0,8.0,,24.0,7.0,0.09411764705882353,True,0,eliminated,10.0,False
17,3,Corbin Bleu,Karina Smirnoff,2nd Place,2,9.0,8.0,9.0,,26.0,2.5,0.10196078431372549,True,0,finished,11.0,False
17,3,Amber Riley,Derek Hough,1st Place,1,8.0,8.0,8.0,,24.0,7.0,0.09411764705882353,True,0,finished,11.0,False
17,3,Keyshawn Johnson,Sharna Burgess,Eliminated Week 2,12,0.0,0.0,0.0,,0.0,,,False,0,eliminated,2.0,True
17,3,Bill Engvall,Emma Slater,Eliminated Week 11,4,8.0,8.0,8.0,,24.0,7.0,0.09411764705882353,True,0,eliminated,11.0,False
17,3,Christina Milian,Mark Ballas,Eliminated Week 5,9,9.0,8.0,9.0,,26.0,2.5,0.10196078431372549,True,0,eliminated,5.0,False
17,3,"Nicole ""Snooki"" Polizzi",Sasha Farber,Eliminated Week 7,8,9.0,8.0,8.0,,25.0,4.5,0.09803921568627451,True,0,eliminated,7.0,False
17,3,Jack Osbourne,Cheryl Burke,3rd Place,3,7.0,7.0,8.0,,22.0,9.0,0.08627450980392157,True,0,finished,11.0,False
17,3,Bill Nye,Tyne Stecklein,Eliminated Week 3,11,6.0,5.0,5.0,,16.0,10.5,0.06274509803921569,True,1,eliminated,3.0,False
18,3,Billy Dee Williams,Emma Slater,Withdrew,10,0.0,0.0,0.0,0.0,0.0,,,False,0,withdrew,2.0,True
18,3,Danica McKellar,Valentin Chmerkovskiy,Eliminated Week 8,6,9.0,9.0,9.0,9.0,36.0,3.5,0.1157556270096463,True,0,eliminated,8.0,False
18,3,James Maslow,Peta Murgatroyd,Eliminated Week 10,4,9.0,9.0,9.0,9.0,36.0,3.5,0.1157556270096463,True,0,eliminated,10.0,False
18,3,Candace Cameron Bure,Mark Ballas,3rd Place,3,8.0,8.0,8.0,8.0,32.0,7.0,0.10289389067524116,True,0,finished,10.0,False
18,3,Sean Avery,Karina Smirnoff,Eliminated Week 2,11,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,2.0,True
18,3,Diana Nyad,Henry Byalikov,Eliminated Week 2,12,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,2.0,True
18,3,Charlie White,Sharna Burgess,Eliminated Week 9,5,9.0,9.0,9.0,9.0,36.0,3.5,0.1157556270096463,True,0,eliminated,9.0,False
18,3,Amy Purdy,Derek Hough,2nd Place,2,9.0,9.0,9.0,9.0,36.0,3.5,0.1157556270096463,True,0,finished,10.0,False
18,3,Meryl Davis,Maksim Chmerkoskiy,1st Place,1,10.0,9.0,10.0,10.0,39.0,1.0,0.12540192926045016,True,0,finished,10.0,False
18,3,Drew Carey,Cheryl Burke,Eliminated Week 6,8,7.0,7.0,8.0,8.0,30.0,9.0,0.09646302250803858,True,0,eliminated,6.0,False
18,3,Cody Simpson,Witney Carson,Eliminated Week 5,9,9.0,8.0,9.0,9.0,35.0,6.0,0.11254019292604502,True,0,eliminated,5.0,False
18,3,NeNe Leakes,Tony Dovolani,Eliminated Week 7,7,8.0,7.0,8.0,8.0,31.0,8.0,0.09967845659163987,True,0,eliminated,7.0,False
19,3,Antonio Sabato Jr.,Cheryl Burke,Eliminated Week 7,8,7.0,7.0,7.0,8.0,29.0,8.5,0.0821529745042493,True,0,eliminated,7.0,False
19,3,Jonathan Bennett,Allison Holker,Eliminated Week 6,9,8.0,8.0,8.0,8.0,32.0,5.0,0.0906515580736544,True,0,eliminated,6.0,False
19,3,Lea Thompson,Artem Chigvintsev,Eliminated Week 9,6,7.0,8.0,8.0,8.0,31.0,7.0,0.08781869688385269,True,0,eliminated,9.0,False
19,3,Janel Parrish,Valentin Chmerkovskiy,3rd Place,3,10.0,10.0,10.0,10.0,40.0,1.5,0.11331444759206799,True,0,finished,11.0,False
19,3,Alfonso Ribeiro,Witney Carson,1st Place,1,8.0,8.0,8.0,8.0,32.0,5.0,0.0906515580736544,True,0,finished,11.0,False
19,3,Lolo Jones,Keo Motsepe,Eliminated Week 1,13,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,1.0,True
19,3,Randy Couture,Karina Smirnoff,Eliminated Week 3,11,7.0,7.0,6.0,6.0,26.0,11.0,0.07365439093484419,True,1,eliminated,3.0,False
19,3,Tommy Chong,Peta Murgatroyd,Eliminated Week 10,5,8.0,10.0,8.0,8.0,34.0,3.0,0.09631728045325778,True,0,eliminated,10.0,False
19,3,Betsey Johnson,Tony Dovolani,Eliminated Week 4,10,7.0,9.0,6.0,7.0,29.0,8.5,0.0821529745042493,True,0,eliminated,4.0,False
19,3,Michael Waltrip,Emma Slater,Eliminated Week 8,7,7.0,7.0,7.0,7.0,28.0,10.0,0.07932011331444759,True,0,eliminated,8.0,False
19,3,Tavis Smiley,Sharna Burgess,Eliminated Week 2,12,0.0,0.0,0.0,0.0,0.0,,,False,0,eliminated,2.0,True
19,3,Bethany Mota,Derek Hough,Eliminated Week 11,4,10.0,10.0,10.0,10.0,40.0,1.5,0.11331444759206799,True,0,eliminated,11.0,False
19,3,Sadie Robertson,Mark Ballas,2nd Place,2,8.0,8.0,8.0,8.0,32.0,5.0,0.0906515580736544,True,0,finished,11.0,False
20,3,Suzanne Somers,Tony Dovolani,Eliminated Week 5,9,6.0,6.0,6.0,7.0,25.0,8.0,0.07987220447284345,True,0,eliminated,5.0,False
20,3,Willow Shields,Mark Ballas,Eliminated Week 7,7,8.0,8.0,8.0,8.0,32.0,4.0,0.10223642172523961,True,0,eliminated,7.0,False
20,3,Riker Lynch,Allison Holker,2nd Place,2,9.0,7.0,9.0,9.0,34.0,1.5,0.10862619808306709,True,0,finished,10.0,False
20,3,Rumer Willis,Valentin Chmerkovskiy,1st Place,1,8.0,9.0,8.0,8.0,33.0,3.0,0.10543130990415335,True,0,finished,10.0,False
20,3,Nastia Liukin,Derek Hough,Eliminated Week 9,4,9.0,8.0,9.0,8.0,34.0,1.5,0.10862619808306709,True,0,eliminated,9.0,False
20,3,Michael Sam,Peta Murgatroyd,Eliminated Week 4,10,6.0,6.0,6.0,6.0,24.0,9.0,0.07667731629392971,True,0,eliminated,4.0,False
20,3,Robert Herjavec,Kym Johnson,Eliminated Week 8,6,7.0,7.0,8.0,7.0,29.0,6.0,0.0926517571884984,True,0,eliminated,8.0,False
20,3,Charlotte McKinney,Keo Motsepe,Eliminated Week 3,11,6.0,5.0,5.0,6.0,22.0,10.5,0.07028753993610223,True,1,eliminated,3.0,False
